Fall 2011,xyz,Calculus 2 for Sci/Engr (Hon),0,4,Robert,Lupi,10423,MATH1342,49,47,
Fall 2011,xyz,VLSI Design,0,4,Yong-Bin,Kim,10428,EECE4524,19,5,
Fall 2009,xyz,Elementary Italian 1 (Hon),0,4,Charlene,Palladino,10438,ITLN1101,18,10,
Fall 2011,xyz,Ethics| Values| and Diversity,0,4,Alicia,Girgenti,10438,CRIM1200,40,44,
Fall 2009,xyz,Elementary Hebrew 2,0,4,Rachel,Naamad,10439,HBRW1102,18,9,
Fall 2012,xyz,Linear Algebra,0,4,Jerzy,Weyman,10443,MATH2331,40,43,
Fall 2010,xyz,Islam,0,4,Fathi,El-Shihibi,10446,RELS1280,45,45,
Fall 2011,xyz,Musicianship 1,0,1,Won-Hee,An,10446,MUSC1241,19,12,
Fall 2012,xyz,Introduction to Women’s| Gender| and Sexuality Studies,0,4,Brett,Nava-Coulter,10455,WMNS1103,40,37,
Fall 2011,xyz,Lab for PHYS 1155,0,1,Spencer,Carson,10456,PHYS1156,10,10,
Fall 2012,xyz,College Writing,0,4,Aparna,Mujumdar,10459,ENGL1111,19,18,
Fall 2012,xyz,College Writing,0,4,David,Ober,10460,ENGL1111,19,18,
Fall 2009,xyz,Elementary Chinese 2,0,4,Hua,Dong,10461,CHNS1102,18,12,
Fall 2012,xyz,College Writing,0,4,Kristi,Girdharry,10461,ENGL1111,19,18,
Fall 2012,xyz,Introduction to Language and Linguistics,0,4,Mary,Hughes,10469,LING1150,19,18,
Fall 2010,xyz,Moral Philosophy,0,4,Nelson,Lande,10472,PHIL3435,35,16,
Fall 2010,xyz,Financial Management,0,4,Joseph,Meador,10473,FINA2201,40,42,
Fall 2009,xyz,Introduction to American History,0,4,Sean,Delaney,10476,HIST1130,49,47,

Fall 2010,xyz,Calculus 2 for Sci/Engr (Hon),0,4,Oleksandr,Foksha,10479,MATH1342,49,47,
Fall 2012,xyz,College Writing,0,4,Paul,Babin,10480,ENGL1111,19,12,
Fall 2012,xyz,College Writing,0,4,Jonathan,Benda,10481,ENGL1111,19,18,
Fall 2012,xyz,College Writing,0,4,Arjun,Poudel,10482,ENGL1111,19,18,
Fall 2012,xyz,College Writing,0,4,Ellen,Noonan,10483,ENGL1111,19,19,
Fall 2011,xyz,Introduction to World History,0,4,Tara,Dixon,10484,HIST1110,49,19,
Fall 2010,xyz,General Biology 1,0,4,Mary-Susan,Potts-Santone,10489,BIOL1111,200,165,
Fall 2011,xyz,Advanced Writing in the Social Sciences,0,4,Cecelia,Musselman,10493,ENGL3308,19,13,
Fall 2010,xyz,Advanced Writing in the Disciplines,0,4,Kalo,Clarke,10495,ENGL3301,19,19,
Fall 2010,xyz,Ethics| Values| and Diversity,0,4,Alicia,Girgenti,10496,CRIM1200,40,43,
Fall 2011,xyz,Linear Algebra,0,4,Jerzy,Weyman,10499,MATH2331,35,35,
Fall 2010,xyz,Musicianship 1,0,1,Won-Hee,An,10504,MUSC1241,19,12,
Fall 2012,xyz,Animation Studio 2,0,4,Andrew,Bouchard,10511,ARTD4570,16,4,
Fall 2009,xyz,International Business and Global Social Responsibility,0,4,Elitsa,Banalieva,10514,INTB1203,40,40,
Fall 2012,xyz,Interactive Foundation,0,4,W.,Pensyl,10515,ARTF2223,18,15,
Fall 2012,xyz,Organic Chemistry 1,0,4,Pamela,Stenberg,10516,CHEM2311,103,97,
Fall 2011,xyz,Women’s Studies,0,4,Leandra,Smollin,10517,WMNS1103,40,28,
Fall 2012,xyz,4D Tools: Motion Basics,0,1,Nicole,Bedard,10519,ARTF2221,18,14,
Fall 2011,xyz,College Writing,0,4,Max,White,10520,ENGL1111,19,16,
Fall 2012,xyz,Recitation for CHEM 1211,0,0,Rein,Kirss,10522,CHEM1213,32,11,
Fall 2011,xyz,College Writing,0,4,Frank,Capogna,10523,ENGL1111,19,18,
Fall 2012,xyz,4D Tools: Motion Basics,0,1,Nicole,Bedard,10525,ARTF2221,18,17,
Fall 2012,xyz,4D Foundation,0,4,Julia,Hechtman,10526,ARTF2220,18,12,
Fall 2012,xyz,Animation Studio 1,0,4,Farley,Chery,10529,ARTD3470,15,11,
Fall 2012,xyz,Video Basics,0,4,Ann,Steuernagel,10530,ARTD2380,15,14,
Fall 2009,xyz,Co-op and Experiential Learning Reflection Seminar 1,0,1,Richard,Porter,10532,MATH3000,30,11,
Fall 2012,xyz,General Chemistry 1,0,4,Geoffrey,Davies,10533,CHEM1211,196,142,
Fall 2012,xyz,General Chemistry 1,0,4,Christopher,Toher,10534,CHEM1211,196,161,
Fall 2012,xyz,General Chemistry 1,0,4,Christopher,Toher,10535,CHEM1211,196,192,
Fall 2011,xyz,College Writing,0,4,Dana,Horton,10542,ENGL1111,19,18,
Fall 2011,xyz,College Writing,0,4,Hanna,Musiol,10543,ENGL1111,19,15,
Fall 2011,xyz,College Writing,0,4,Michael,Turner,10544,ENGL1111,19,18,
Fall 2011,xyz,College Writing,0,4,Bret,Keeling,10546,ENGL1111,18,16,
Fall 2012,xyz,Recitation for CHEM 1101,0,0,Ken,Chung,10552,CHEM1103,30,15,
Fall 2010,xyz,Linear Algebra,0,4,Anthony,Iarrobino,10560,MATH2331,35,33,
Fall 2011,xyz,Alternative Photographic Processes,0,4,Dana,Mueller,10569,ARTD4661,10,7,
Fall 2012,xyz,Historical Traditions 1: America,0,4,Rebecca,Kim,10569,MUSC2311,19,19,
Fall 2012,xyz,Calculus 2 for Science and Engineering,0,4,Robert,Lupi,10573,MATH1342,49,44,
Fall 2011,xyz,Photography 1,0,4,Neal,Rantoul,10576,ARTD3460,15,14,
Fall 2010,xyz,Topics in Contemporary Issues: Focus on Analysis,0,4,Jennifer,Cole,10577,HONR3342,19,18,
Fall 2011,xyz,4D Tools: Motion Basics,0,1,Nicole,Bedard,10582,ARTF2221,18,19,

Fall 2010,xyz,College Writing,0,4,Shun,Kiang,10587,ENGL1111,19,19,

Fall 2012,xyz,College Writing (HON),0,4,Edward,Moss,10588,ENGL1111,19,8,
